,E1,E2,W1,W2,N1,N2,S1,S2,Central,NE,NW,SE,SW
125,261.097,470.81,422.0,477.0,322.184,318.806,368.515,352.0,715.542,427.479,211.546,250.289,95.541
126,266.267,472.314,307.0,528.0,438.378,333.741,386.699,655.0,552.99,227.747,200.305,368.574,31.847
127,522.193,497.189,492.0,328.0,418.739,337.888,392.573,309.0,262.172,619.54,362.172,525.613,402.838
128,304.488,297.766,534.0,414.0,,250.306,360.138,403.0,525.68,241.356,583.324,268.601,162.389
129,215.306,598.503,330.0,382.0,,320.982,360.138,395.0,381.949,189.497,365.354,391.719,131.309
130,147.699,519.515,481.0,439.0,,335.821,422.526,439.0,637.805,459.854,510.68,265.305,360.309
131,261.097,313.433,424.0,472.0,,527.692,415.24,498.0,536.248,319.596,196.416,345.916,229.653
132,208.877,551.31,389.0,648.0,,436.743,468.75,720.0,322.184,404.458,283.274,490.994,256.76
133,334.367,429.445,422.0,621.0,,186.567,390.625,723.0,561.798,266.497,355.724,323.847,45.039
134,313.316,263.653,667.0,382.0,,166.871,531.307,341.0,403.383,304.247,397.711,431.886,95.541
135,261.097,619.468,472.0,463.0,,300.831,476.819,613.0,413.684,278.216,316.711,331.897,185.699
136,380.162,475.308,454.0,459.0,,486.508,276.214,456.0,345.301,520.878,248.448,342.337,284.849
137,313.316,269.639,472.0,618.0,,401.878,370.579,668.0,499.688,112.994,589.247,402.793,302.128
138,1044.386,703.132,321.0,560.0,,380.524,349.386,559.0,525.68,227.747,465.633,356.439,273.959
139,522.193,380.862,529.0,278.0,,186.567,531.307,439.0,488.33,357.32,500.763,431.886,159.236
140,626.632,328.894,574.0,353.0,,211.077,390.625,690.0,403.383,353.954,361.106,456.449,272.102
141,369.246,188.324,449.0,590.0,,523.719,386.699,395.0,488.33,557.149,237.33,515.13,127.389
142,417.755,532.66,434.0,398.0,,477.845,384.721,341.0,334.991,376.883,314.265,283.889,351.763
143,446.162,251.255,481.0,382.0,,307.694,436.732,526.0,509.418,283.895,362.172,586.079,142.425
144,369.246,303.663,380.0,512.0,,486.508,333.75,333.0,405.118,159.798,499.992,286.358,284.849
145,522.193,497.189,549.0,810.0,,502.001,509.313,559.0,411.985,294.924,277.773,187.599,127.389
146,261.097,297.766,416.0,696.0,,373.134,390.625,464.0,218.388,482.712,362.172,484.137,127.389
147,208.877,282.486,449.0,723.0,,410.448,546.875,349.0,427.032,290.837,256.095,553.974,159.236
148,472.866,241.172,449.0,382.0,,519.716,312.5,412.0,427.032,112.994,361.106,285.743,142.425
149,215.306,226.772,472.0,414.0,,534.247,351.562,488.0,,482.712,416.66,454.13,313.658
150,747.667,335.301,574.0,382.0,,367.495,415.24,464.0,,340.158,316.711,235.061,262.618
151,785.029,414.313,398.0,472.0,,373.134,594.982,414.0,,260.439,194.441,266.629,131.309
152,421.006,571.835,563.0,512.0,394.26,497.823,390.625,552.0,280.899,683.242,377.813,187.599,191.083
153,215.306,162.002,472.0,563.0,226.468,455.468,436.732,472.0,405.118,282.486,138.887,202.051,191.083
154,710.26,269.639,477.0,604.0,402.186,373.134,360.138,498.0,438.778,401.488,168.963,262.639,63.694
155,446.162,263.653,513.0,371.0,606.377,298.507,531.307,391.0,341.728,239.697,310.56,611.067,273.959
156,188.279,294.171,304.0,477.0,393.258,486.508,509.313,437.0,452.936,441.257,372.672,375.667,142.425
157,611.211,200.191,348.0,732.0,382.064,333.741,420.716,494.0,202.559,480.226,339.066,533.917,254.777
158,481.438,168.442,550.0,393.0,276.653,447.761,273.438,751.0,359.726,282.486,404.444,228.224,300.445
159,492.636,301.318,363.0,618.0,357.526,709.936,548.268,526.0,231.635,215.135,194.441,209.742,127.389
160,330.264,245.544,389.0,499.0,390.237,373.134,596.263,747.0,231.635,243.004,424.003,419.485,193.719
161,595.392,225.989,441.0,563.0,457.27,485.075,360.138,587.0,376.865,290.837,432.114,478.286,171.502
162,261.097,119.107,522.0,604.0,289.203,455.468,353.726,498.0,397.251,225.989,168.963,338.199,302.128
163,261.097,311.732,529.0,398.0,421.348,474.922,494.106,403.0,476.701,260.439,196.416,482.316,222.93
164,993.54,173.626,492.0,382.0,374.766,374.995,468.75,607.0,393.258,411.306,397.711,544.361,231.851
165,522.193,313.433,338.0,590.0,339.411,389.564,420.716,464.0,327.582,310.734,149.586,307.686,518.434
166,304.488,527.307,456.0,382.0,421.348,298.507,336.028,266.0,561.798,564.972,262.051,552.065,653.449
167,365.535,150.659,481.0,528.0,338.247,582.854,509.313,655.0,280.899,290.837,222.219,332.427,225.193
168,797.093,214.722,330.0,293.0,226.468,449.313,597.541,509.0,529.999,197.74,262.051,358.408,229.653
169,710.26,235.969,416.0,645.0,320.274,396.647,445.381,464.0,317.801,178.66,370.596,344.897,470.217
170,842.011,213.064,416.0,705.0,314.054,527.692,494.106,414.0,376.865,189.497,299.171,401.042,262.618
171,334.367,269.639,464.0,463.0,394.26,374.995,559.29,391.0,393.258,290.837,316.711,335.588,522.332
172,266.267,219.622,422.0,439.0,337.079,671.642,665.21,649.0,337.079,227.747,248.448,520.229,343.004
173,449.208,338.983,456.0,528.0,320.274,291.427,468.75,526.0,286.462,116.472,277.773,255.163,320.06
174,710.26,262.305,614.0,477.0,302.537,223.881,468.75,315.0,405.118,349.416,166.664,226.677,313.658
